"20150501070000,94.346,94.386,94.345,94.361"
"20150501070500,94.360,94.361,94.324,94.330"
"20150501071000,94.329,94.375,94.329,94.348"
"20150501071500,94.348,94.350,94.324,94.345"
"20150501072000,94.345,94.399,94.335,94.393"
"20150501072500,94.393,94.408,94.380,94.383"
"20150501073000,94.383,94.420,94.365,94.397"
"20150501073500,94.397,94.398,94.376,94.377"
"20150501074000,94.377,94.394,94.370,94.374"
"20150501074500,94.374,94.374,94.330,94.367"
"20150501075000,94.367,94.389,94.358,94.389"
"20150501075500,94.389,94.389,94.345,94.357"
"20150501080000,94.357,94.397,94.346,94.385"
"20150501080500,94.385,94.405,94.377,94.396"
"20150501081000,94.396,94.405,94.373,94.386"
"20150501081500,94.385,94.387,94.363,94.368"
"20150501082000,94.368,94.384,94.361,94.382"
"20150501082500,94.382,94.394,94.357,94.360"
"20150501083000,94.359,94.379,94.344,94.352"
"20150501083500,94.351,94.360,94.325,94.342"
"20150501084000,94.341,94.395,94.339,94.374"
"20150501084500,94.373,94.389,94.350,94.378"
"20150501085000,94.379,94.383,94.353,94.376"
"20150501085500,94.376,94.382,94.343,94.343"
"20150501090000,94.341,94.377,94.337,94.358"
"20150501090500,94.358,94.405,94.357,94.384"
"20150501091000,94.386,94.396,94.342,94.369"
"20150501091500,94.370,94.400,94.359,94.373"
"20150501092000,94.373,94.377,94.336,94.336"
"20150501092500,94.336,94.373,94.335,94.358"
"20150501093000,94.358,94.370,94.329,94.341"
"20150501093500,94.341,94.372,94.337,94.355"
"20150501094000,94.354,94.387,94.352,94.379"
"20150501094500,94.380,94.388,94.364,94.382"
"20150501095000,94.382,94.415,94.359,94.415"
"20150501095500,94.426,94.437,94.375,94.403"
"20150501100000,94.401,94.515,94.381,94.387"
"20150501100500,94.387,94.407,94.346,94.346"
"20150501101000,94.346,94.367,94.315,94.336"
"20150501101500,94.336,94.366,94.321,94.352"
"20150501102000,94.353,94.354,94.309,94.328"
"20150501102500,94.328,94.396,94.328,94.350"
"20150501103000,94.350,94.410,94.348,94.406"
"20150501103500,94.406,94.411,94.385,94.388"
"20150501104000,94.388,94.396,94.366,94.372"
"20150501104500,94.370,94.440,94.369,94.436"
"20150501105000,94.436,94.456,94.397,94.397"
"20150501105500,94.398,94.402,94.351,94.356"
"20150501110000,94.356,94.387,94.337,94.380"
"20150501110500,94.379,94.383,94.357,94.371"
"20150501111000,94.371,94.378,94.348,94.363"
"20150501111500,94.363,94.372,94.291,94.297"
"20150501112000,94.297,94.298,94.277,94.283"
"20150501112500,94.283,94.290,94.236,94.275"
"20150501113000,94.275,94.315,94.268,94.293"
"20150501113500,94.293,94.328,94.292,94.294"
"20150501114000,94.294,94.355,94.287,94.352"
"20150501114500,94.352,94.402,94.347,94.396"
"20150501115000,94.396,94.407,94.387,94.405"
"20150501115500,94.406,94.444,94.399,94.419"
"20150501120000,94.419,94.432,94.410,94.427"
"20150501120500,94.427,94.430,94.393,94.398"
"20150501121000,94.399,94.420,94.373,94.398"
"20150501121500,94.398,94.403,94.378,94.389"
"20150501122000,94.389,94.412,94.372,94.407"
"20150501122500,94.407,94.418,94.383,94.387"
"20150501123000,94.387,94.448,94.386,94.437"
"20150501123500,94.437,94.448,94.435,94.440"
"20150501124000,94.441,94.463,94.430,94.463"
"20150501124500,94.463,94.481,94.459,94.477"
"20150501125000,94.477,94.485,94.460,94.465"
"20150501125500,94.465,94.467,94.434,94.446"
"20150501130000,94.447,94.454,94.409,94.426"
"20150501130500,94.426,94.455,94.426,94.445"
"20150501131000,94.445,94.468,94.424,94.428"
"20150501131500,94.428,94.429,94.397,94.403"
"20150501132000,94.403,94.424,94.387,94.387"
"20150501132500,94.387,94.391,94.369,94.378"
"20150501133000,94.379,94.383,94.323,94.349"
"20150501133500,94.349,94.357,94.334,94.355"
"20150501134000,94.355,94.384,94.332,94.380"
"20150501134500,94.380,94.402,94.373,94.393"
"20150501135000,94.393,94.394,94.367,94.388"
"20150501135500,94.388,94.391,94.364,94.369"
"20150501140000,94.369,94.377,94.330,94.338"
"20150501140500,94.343,94.371,94.337,94.342"
"20150501141000,94.342,94.365,94.333,94.355"
"20150501141500,94.355,94.366,94.342,94.355"
"20150501142000,94.356,94.376,94.356,94.362"
"20150501142500,94.362,94.394,94.359,94.386"
"20150501143000,94.386,94.428,94.382,94.415"
"20150501143500,94.415,94.460,94.411,94.449"
"20150501144000,94.449,94.498,94.442,94.466"
"20150501144500,94.466,94.472,94.446,94.450"
"20150501145000,94.450,94.566,94.442,94.553"
"20150501145500,94.556,94.610,94.549,94.576"
"20150501150000,94.573,94.662,94.573,94.644"
"20150501150500,94.644,94.652,94.601,94.617"
"20150501151000,94.617,94.618,94.527,94.537"
"20150501151500,94.537,94.559,94.510,94.538"
"20150501152000,94.538,94.606,94.537,94.579"
"20150501152500,94.579,94.597,94.550,94.551"
"20150501153000,94.551,94.569,94.513,94.519"
"20150501153500,94.519,94.564,94.513,94.518"
"20150501154000,94.518,94.526,94.432,94.432"
"20150501154500,94.433,94.439,94.309,94.310"
"20150501155000,94.309,94.391,94.294,94.371"
"20150501155500,94.366,94.366,94.294,94.305"
"20150501160000,94.306,94.323,94.175,94.177"
"20150501160500,94.177,94.293,94.176,94.256"
"20150501161000,94.256,94.334,94.210,94.329"
"20150501161500,94.328,94.360,94.290,94.316"
"20150501162000,94.322,94.362,94.314,94.335"
"20150501162500,94.335,94.368,94.328,94.349"
"20150501163000,94.349,94.368,94.307,94.331"
"20150501163500,94.332,94.415,94.331,94.398"
"20150501164000,94.398,94.457,94.398,94.412"
"20150501164500,94.413,94.435,94.400,94.419"
"20150501165000,94.419,94.481,94.396,94.470"
"20150501165500,94.472,94.476,94.424,94.448"
"20150501170000,94.448,94.549,94.448,94.537"
"20150501170500,94.536,94.537,94.488,94.496"
"20150501171000,94.495,94.508,94.463,94.471"
"20150501171500,94.470,94.508,94.433,94.439"
"20150501172000,94.440,94.446,94.405,94.443"
"20150501172500,94.443,94.478,94.382,94.387"
"20150501173000,94.387,94.465,94.381,94.464"
"20150501173500,94.465,94.531,94.465,94.525"
"20150501174000,94.525,94.544,94.497,94.529"
"20150501174500,94.531,94.537,94.490,94.521"
"20150501175000,94.523,94.550,94.504,94.539"
"20150501175500,94.540,94.564,94.483,94.487"
"20150501180000,94.490,94.507,94.465,94.489"
"20150501180500,94.489,94.508,94.454,94.507"
"20150501181000,94.507,94.548,94.495,94.548"
"20150501181500,94.549,94.579,94.519,94.554"
"20150501182000,94.552,94.573,94.520,94.520"
"20150501182500,94.518,94.539,94.491,94.536"
"20150501183000,94.535,94.535,94.415,94.418"
"20150501183500,94.418,94.447,94.389,94.406"
"20150501184000,94.407,94.440,94.383,94.431"
"20150501184500,94.430,94.436,94.374,94.401"
"20150501185000,94.401,94.420,94.382,94.391"
"20150501185500,94.391,94.395,94.343,94.346"
"20150501190000,94.345,94.402,94.337,94.383"
"20150501190500,94.383,94.389,94.349,94.364"
"20150501191000,94.364,94.376,94.331,94.347"
"20150501191500,94.347,94.360,94.295,94.296"
"20150501192000,94.297,94.320,94.282,94.320"
"20150501192500,94.320,94.357,94.298,94.325"
"20150501193000,94.325,94.353,94.318,94.324"
"20150501193500,94.325,94.339,94.304,94.306"
"20150501194000,94.306,94.429,94.306,94.409"
"20150501194500,94.410,94.440,94.389,94.440"
"20150501195000,94.440,94.474,94.419,94.460"
"20150501195500,94.460,94.511,94.459,94.506"
"20150501200000,94.507,94.530,94.486,94.520"
"20150501200500,94.520,94.522,94.494,94.507"
"20150501201000,94.507,94.545,94.479,94.519"
"20150501201500,94.520,94.525,94.490,94.500"
"20150501202000,94.501,94.505,94.451,94.456"
"20150501202500,94.456,94.472,94.441,94.454"
"20150501203000,94.454,94.491,94.440,94.451"
"20150501203500,94.451,94.461,94.428,94.429"
"20150501204000,94.429,94.440,94.362,94.393"
"20150501204500,94.392,94.393,94.335,94.345"
"20150501205000,94.345,94.354,94.299,94.337"
"20150501205500,94.337,94.339,94.282,94.292"
"20150501210000,94.292,94.294,94.250,94.253"
"20150501210500,94.253,94.294,94.239,94.269"
"20150501211000,94.268,94.304,94.230,94.258"
"20150501211500,94.259,94.378,94.258,94.377"
"20150501212000,94.374,94.401,94.308,94.310"
"20150501212500,94.314,94.334,94.278,94.293"
"20150501213000,94.293,94.302,94.244,94.254"
"20150501213500,94.255,94.259,94.077,94.115"
"20150501214000,94.115,94.177,94.115,94.164"
"20150501214500,94.166,94.214,94.119,94.211"
"20150501215000,94.210,94.260,94.192,94.253"
"20150501215500,94.252,94.268,94.202,94.212"
"20150501220000,94.213,94.236,94.181,94.222"
"20150501220500,94.221,94.277,94.217,94.273"
"20150501221000,94.273,94.300,94.259,94.285"
"20150501221500,94.284,94.288,94.238,94.270"
"20150501222000,94.274,94.309,94.265,94.305"
"20150501222500,94.306,94.333,94.297,94.328"
"20150501223000,94.328,94.370,94.313,94.326"
"20150501223500,94.331,94.334,94.299,94.331"
"20150501224000,94.331,94.335,94.285,94.315"
"20150501224500,94.315,94.322,94.271,94.283"
"20150501225000,94.283,94.290,94.209,94.240"
"20150501225500,94.238,94.302,94.098,94.105"
"20150501230000,94.105,94.305,94.068,94.068"
"20150501230500,94.067,94.161,94.029,94.075"
"20150501231000,94.074,94.132,94.043,94.100"
"20150501231500,94.099,94.101,94.030,94.057"
"20150501232000,94.057,94.096,94.000,94.084"
"20150501232500,94.084,94.127,94.028,94.028"
"20150501233000,94.028,94.076,93.999,94.040"
"20150501233500,94.041,94.094,93.999,94.021"
"20150501234000,94.022,94.060,94.011,94.017"
"20150501234500,94.018,94.058,93.990,94.006"
"20150501235000,94.009,94.068,93.971,94.068"
"20150501235500,94.070,94.112,94.041,94.089"
"20150502000000,94.090,94.121,94.040,94.051"
"20150502000500,94.051,94.096,93.968,93.983"
"20150502001000,93.984,94.070,93.975,94.069"
"20150502001500,94.069,94.073,93.969,93.995"
"20150502002000,93.997,94.016,93.881,93.907"
"20150502002500,93.908,93.963,93.885,93.960"
"20150502003000,93.960,93.996,93.949,93.949"
"20150502003500,93.947,93.964,93.889,93.892"
"20150502004000,93.887,93.944,93.887,93.925"
"20150502004500,93.919,93.921,93.842,93.844"
"20150502005000,93.843,93.908,93.843,93.907"
"20150502005500,93.906,93.939,93.891,93.895"
"20150502010000,93.895,93.930,93.863,93.888"
"20150502010500,93.888,93.900,93.825,93.869"
"20150502011000,93.869,93.932,93.849,93.915"
"20150502011500,93.913,93.935,93.899,93.926"
"20150502012000,93.926,93.966,93.897,93.966"
"20150502012500,93.968,94.052,93.954,94.048"
"20150502013000,94.048,94.077,94.030,94.048"
"20150502013500,94.048,94.053,94.009,94.025"
"20150502014000,94.021,94.069,94.020,94.055"
"20150502014500,94.055,94.080,94.018,94.030"
"20150502015000,94.030,94.059,94.025,94.026"
"20150502015500,94.026,94.072,94.013,94.019"
"20150502020000,94.020,94.066,94.006,94.051"
"20150502020500,94.051,94.087,94.038,94.071"
"20150502021000,94.072,94.098,94.055,94.087"
"20150502021500,94.087,94.142,94.087,94.140"
"20150502022000,94.140,94.187,94.133,94.162"
"20150502022500,94.162,94.195,94.148,94.191"
"20150502023000,94.186,94.203,94.167,94.185"
"20150502023500,94.184,94.192,94.162,94.170"
"20150502024000,94.170,94.170,94.114,94.126"
"20150502024500,94.124,94.132,94.096,94.120"
"20150502025000,94.119,94.139,94.115,94.130"
"20150502025500,94.130,94.131,94.106,94.113"
"20150502030000,94.113,94.127,94.106,94.114"
"20150502030500,94.114,94.145,94.114,94.138"
"20150502031000,94.138,94.174,94.136,94.162"
"20150502031500,94.162,94.170,94.134,94.148"
"20150502032000,94.149,94.155,94.129,94.152"
"20150502032500,94.153,94.171,94.148,94.164"
"20150502033000,94.164,94.165,94.128,94.130"
"20150502033500,94.132,94.145,94.092,94.094"
"20150502034000,94.093,94.103,94.072,94.072"
"20150502034500,94.071,94.094,94.056,94.079"
"20150502035000,94.079,94.080,94.043,94.050"
"20150502035500,94.050,94.096,94.042,94.096"
"20150502040000,94.095,94.126,94.090,94.126"
"20150502040500,94.126,94.136,94.113,94.114"
"20150502041000,94.114,94.120,94.070,94.081"
"20150502041500,94.081,94.089,94.058,94.062"
"20150502042000,94.062,94.092,94.054,94.092"
"20150502042500,94.092,94.106,94.081,94.106"
"20150502043000,94.106,94.112,94.095,94.107"
"20150502043500,94.106,94.141,94.105,94.139"
"20150502044000,94.141,94.148,94.126,94.138"
"20150502044500,94.138,94.174,94.126,94.156"
"20150502045000,94.156,94.191,94.153,94.179"
"20150502045500,94.179,94.201,94.162,94.166"
"20150502050000,94.167,94.183,94.158,94.160"
"20150502050500,94.160,94.165,94.153,94.156"
"20150502051000,94.152,94.152,94.131,94.135"
"20150502051500,94.136,94.158,94.135,94.158"
"20150502052000,94.158,94.160,94.146,94.148"
"20150502052500,94.147,94.175,94.138,94.175"
"20150502053000,94.174,94.174,94.144,94.148"
"20150502053500,94.148,94.153,94.072,94.104"
"20150502054000,94.097,94.157,94.088,94.139"
"20150502054500,94.139,94.185,94.130,94.165"
"20150502055000,94.165,94.214,94.143,94.184"
"20150502055500,94.183,94.353,94.158,94.351"
