����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501182900,94.519,94.539,94.519,94.536,94.546,94.526,HIGHやで～
20150501183000,94.535,94.535,94.497,94.504,94.542,94.504,LOWやで～
20150501183100,94.505,94.508,94.485,94.492,94.515,94.492,LOWやで～
20150501183200,94.492,94.505,94.486,94.487,94.512,94.493,LOWやで～
20150501183300,94.487,94.504,94.484,94.504,94.511,94.491,HIGHやで～
20150501183400,94.504,94.516,94.415,94.418,94.523,94.422,LOWやで～
20150501183500,94.418,94.430,94.401,94.415,94.437,94.408,LOWやで～
20150501183600,94.415,94.443,94.413,94.439,94.450,94.420,HIGHやで～
20150501183700,94.438,94.447,94.420,94.440,94.454,94.427,HIGHやで～
20150501183800,94.440,94.440,94.401,94.402,94.447,94.408,LOWやで～
20150501183900,94.401,94.413,94.389,94.406,94.420,94.396,HIGHやで～
20150501184000,94.407,94.409,94.400,94.404,94.416,94.407,LOWやで～
20150501184100,94.404,94.404,94.400,94.402,94.411,94.407,LOWやで～
20150501184200,94.403,94.406,94.383,94.406,94.413,94.390,HIGHやで～
20150501184300,94.406,94.424,94.397,94.421,94.431,94.404,HIGHやで～
20150501184400,94.421,94.440,94.409,94.431,94.447,94.416,HIGHやで～
20150501184500,94.430,94.436,94.408,94.419,94.443,94.415,LOWやで～
20150501184600,94.419,94.430,94.407,94.407,94.437,94.414,LOWやで～
20150501184700,94.405,94.417,94.402,94.403,94.424,94.409,LOWやで～
20150501184800,94.405,94.405,94.374,94.383,94.412,94.381,LOWやで～
20150501184900,94.381,94.402,94.379,94.401,94.409,94.386,HIGHやで～
20150501185000,94.401,94.420,94.396,94.414,94.427,94.403,HIGHやで～
20150501185100,94.414,94.414,94.382,94.397,94.421,94.389,LOWやで～
20150501185200,94.397,94.418,94.397,94.413,94.425,94.404,HIGHやで～
20150501185300,94.413,94.418,94.401,94.404,94.425,94.408,LOWやで～
20150501185400,94.404,94.405,94.390,94.391,94.412,94.397,LOWやで～
20150501185500,94.391,94.391,94.355,94.362,94.398,94.362,LOWやで～
20150501185600,94.362,94.383,94.353,94.383,94.390,94.360,HIGHやで～
20150501185700,94.383,94.395,94.381,94.385,94.402,94.388,HIGHやで～
20150501185800,94.385,94.390,94.379,94.384,94.397,94.386,LOWやで～
20150501185900,94.386,94.389,94.343,94.346,94.396,94.350,LOWやで～
20150501190000,94.345,94.361,94.337,94.355,94.368,94.344,HIGHやで～
20150501190100,94.355,94.384,94.355,94.384,94.391,94.362,HIGHやで～
20150501190200,94.384,94.387,94.373,94.380,94.394,94.380,LOWやで～
20150501190300,94.379,94.398,94.379,94.395,94.405,94.386,HIGHやで～
20150501190400,94.392,94.402,94.369,94.383,94.409,94.376,LOWやで～
20150501190500,94.383,94.389,94.366,94.366,94.396,94.373,LOWやで～
20150501190600,94.366,94.368,94.357,94.359,94.375,94.364,LOWやで～
20150501190700,94.359,94.365,94.349,94.355,94.372,94.356,LOWやで～
20150501190800,94.356,94.370,94.350,94.367,94.377,94.357,HIGHやで～
20150501190900,94.366,94.375,94.364,94.364,94.382,94.371,LOWやで～
20150501191000,94.364,94.365,94.346,94.357,94.372,94.353,LOWやで～
20150501191100,94.357,94.357,94.337,94.355,94.364,94.344,LOWやで～
20150501191200,94.355,94.376,94.353,94.368,94.383,94.360,HIGHやで～
20150501191300,94.367,94.369,94.356,94.362,94.376,94.363,LOWやで～
20150501191400,94.362,94.364,94.331,94.347,94.371,94.338,LOWやで～
20150501191500,94.347,94.350,94.340,94.350,94.357,94.347,HIGHやで～
20150501191600,94.351,94.354,94.334,94.342,94.361,94.341,LOWやで～
20150501191700,94.345,94.360,94.337,94.347,94.367,94.344,HIGHやで～
20150501191800,94.347,94.360,94.340,94.351,94.367,94.347,HIGHやで～
20150501191900,94.352,94.353,94.295,94.296,94.360,94.302,LOWやで～
20150501192000,94.297,94.306,94.293,94.303,94.313,94.300,HIGHやで～
20150501192100,94.301,94.302,94.288,94.293,94.309,94.295,LOWやで～
20150501192200,94.293,94.298,94.291,94.297,94.305,94.298,HIGHやで～
20150501192300,94.293,94.304,94.282,94.302,94.311,94.289,HIGHやで～
20150501192400,94.302,94.320,94.295,94.320,94.327,94.302,HIGHやで～
20150501192500,94.320,94.320,94.298,94.306,94.327,94.305,LOWやで～
20150501192600,94.306,94.348,94.306,94.339,94.355,94.313,HIGHやで～
20150501192700,94.339,94.357,94.334,94.347,94.364,94.341,HIGHやで～
20150501192800,94.344,94.346,94.324,94.324,94.353,94.331,LOWやで～
20150501192900,94.324,94.336,94.322,94.325,94.343,94.329,HIGHやで～
20150501193000,94.325,94.337,94.324,94.333,94.344,94.331,HIGHやで～
20150501193100,94.333,94.349,94.333,94.346,94.356,94.340,HIGHやで～
20150501193200,94.347,94.353,94.331,94.331,94.360,94.338,LOWやで～
20150501193300,94.329,94.348,94.325,94.337,94.355,94.332,HIGHやで～
20150501193400,94.338,94.345,94.318,94.324,94.352,94.325,LOWやで～
20150501193500,94.325,94.339,94.316,94.317,94.346,94.323,LOWやで～
20150501193600,94.320,94.330,94.306,94.330,94.337,94.313,HIGHやで～
20150501193700,94.330,94.331,94.322,94.326,94.338,94.329,LOWやで～
20150501193800,94.326,94.333,94.323,94.332,94.340,94.330,HIGHやで～
20150501193900,94.333,94.335,94.304,94.306,94.342,94.311,LOWやで～
20150501194000,94.306,94.339,94.306,94.337,94.346,94.313,HIGHやで～
20150501194100,94.338,94.383,94.336,94.370,94.390,94.343,HIGHやで～
20150501194200,94.371,94.404,94.356,94.394,94.411,94.363,HIGHやで～
20150501194300,94.395,94.429,94.389,94.408,94.436,94.396,HIGHやで～
20150501194400,94.409,94.419,94.402,94.409,94.426,94.409,LOWやで～
20150501194500,94.410,94.413,94.389,94.393,94.420,94.396,LOWやで～
20150501194600,94.393,94.401,94.391,94.393,94.408,94.398,LOWやで～
20150501194700,94.393,94.420,94.392,94.416,94.427,94.399,HIGHやで～
20150501194800,94.416,94.428,94.416,94.426,94.435,94.423,HIGHやで～
20150501194900,94.426,94.440,94.420,94.440,94.447,94.427,HIGHやで～
20150501195000,94.440,94.450,94.422,94.422,94.457,94.429,LOWやで～
20150501195100,94.422,94.435,94.419,94.434,94.442,94.426,HIGHやで～
20150501195200,94.434,94.460,94.432,94.458,94.467,94.439,HIGHやで～
20150501195300,94.458,94.472,94.455,94.466,94.479,94.462,HIGHやで～
20150501195400,94.466,94.474,94.451,94.460,94.481,94.458,LOWやで～
20150501195500,94.460,94.485,94.460,94.471,94.492,94.467,HIGHやで～
20150501195600,94.471,94.474,94.469,94.471,94.481,94.476,LOWやで～
20150501195700,94.471,94.473,94.461,94.464,94.480,94.468,LOWやで～
20150501195800,94.464,94.481,94.459,94.472,94.488,94.466,HIGHやで～
20150501195900,94.472,94.511,94.472,94.506,94.518,94.479,HIGHやで～
20150501200000,94.507,94.510,94.497,94.499,94.517,94.504,LOWやで～
20150501200100,94.499,94.516,94.486,94.516,94.523,94.493,HIGHやで～
20150501200200,94.515,94.519,94.503,94.509,94.526,94.510,LOWやで～
20150501200300,94.510,94.520,94.491,94.510,94.527,94.498,LOWやで～
20150501200400,94.512,94.530,94.512,94.520,94.537,94.519,HIGHやで～
20150501200500,94.520,94.521,94.502,94.502,94.528,94.509,LOWやで～
20150501200600,94.501,94.516,94.494,94.516,94.523,94.501,HIGHやで～
20150501200700,94.516,94.521,94.508,94.508,94.528,94.515,LOWやで～
20150501200800,94.508,94.519,94.508,94.513,94.526,94.515,HIGHやで～
20150501200900,94.513,94.522,94.506,94.507,94.529,94.513,LOWやで～
20150501201000,94.507,94.511,94.499,94.500,94.518,94.506,LOWやで～
20150501201100,94.500,94.502,94.483,94.484,94.509,94.490,LOWやで～
20150501201200,94.484,94.492,94.479,94.490,94.499,94.486,HIGHやで～
20150501201300,94.494,94.530,94.484,94.529,94.537,94.491,HIGHやで～
20150501201400,94.529,94.545,94.518,94.519,94.552,94.525,LOWやで～
20150501201500,94.520,94.525,94.512,94.517,94.532,94.519,LOWやで～
20150501201600,94.516,94.520,94.503,94.505,94.527,94.510,LOWやで～
20150501201700,94.504,94.512,94.495,94.499,94.519,94.502,LOWやで～
20150501201800,94.499,94.512,94.492,94.511,94.519,94.499,HIGHやで～
20150501201900,94.512,94.512,94.490,94.500,94.519,94.497,LOWやで～
20150501202000,94.501,94.505,94.481,94.484,94.512,94.488,LOWやで～
20150501202100,94.484,94.499,94.484,94.493,94.506,94.491,HIGHやで～
20150501202200,94.492,94.498,94.483,94.485,94.505,94.490,LOWやで～
20150501202300,94.486,94.486,94.466,94.467,94.493,94.473,LOWやで～
20150501202400,94.468,94.471,94.451,94.456,94.478,94.458,LOWやで～
20150501202500,94.456,94.464,94.452,94.457,94.471,94.459,HIGHやで～
20150501202600,94.457,94.469,94.457,94.462,94.476,94.464,HIGHやで～
20150501202700,94.462,94.472,94.455,94.470,94.479,94.462,HIGHやで～
20150501202800,94.470,94.471,94.445,94.447,94.478,94.452,LOWやで～
20150501202900,94.448,94.454,94.441,94.454,94.461,94.448,HIGHやで～
20150501203000,94.454,94.478,94.454,94.477,94.485,94.461,HIGHやで～
20150501203100,94.477,94.491,94.467,94.471,94.498,94.474,LOWやで～
20150501203200,94.471,94.471,94.455,94.457,94.478,94.462,LOWやで～
20150501203300,94.458,94.460,94.441,94.443,94.467,94.448,LOWやで～
20150501203400,94.442,94.462,94.440,94.451,94.469,94.447,HIGHやで～
20150501203500,94.451,94.451,94.430,94.431,94.458,94.437,LOWやで～
20150501203600,94.431,94.446,94.430,94.440,94.453,94.437,HIGHやで～
20150501203700,94.438,94.449,94.438,94.449,94.456,94.445,HIGHやで～
20150501203800,94.449,94.461,94.446,94.456,94.468,94.453,HIGHやで～
20150501203900,94.456,94.456,94.428,94.429,94.463,94.435,LOWやで～
20150501204000,94.429,94.440,94.415,94.420,94.447,94.422,LOWやで～
20150501204100,94.421,94.422,94.362,94.363,94.429,94.369,LOWやで～
20150501204200,94.364,94.385,94.364,94.384,94.392,94.371,HIGHやで～
20150501204300,94.384,94.395,94.377,94.388,94.402,94.384,HIGHやで～
20150501204400,94.389,94.405,94.385,94.393,94.412,94.392,HIGHやで～
20150501204500,94.392,94.393,94.363,94.368,94.400,94.370,LOWやで～
20150501204600,94.368,94.379,94.358,94.375,94.386,94.365,HIGHやで～
20150501204700,94.375,94.377,94.363,94.369,94.384,94.370,LOWやで～
20150501204800,94.369,94.376,94.356,94.359,94.383,94.363,LOWやで～
20150501204900,94.359,94.359,94.335,94.345,94.366,94.342,LOWやで～
20150501205000,94.345,94.354,94.335,94.340,94.361,94.342,LOWやで～
20150501205100,94.340,94.349,94.306,94.306,94.356,94.313,LOWやで～
20150501205200,94.305,94.315,94.299,94.313,94.322,94.306,HIGHやで～
20150501205300,94.314,94.332,94.306,94.329,94.339,94.313,HIGHやで～
20150501205400,94.329,94.348,94.327,94.337,94.355,94.334,HIGHやで～
20150501205500,94.337,94.337,94.319,94.320,94.344,94.326,LOWやで～
20150501205600,94.320,94.325,94.318,94.322,94.332,94.325,HIGHやで～
20150501205700,94.322,94.339,94.319,94.336,94.346,94.326,HIGHやで～
20150501205800,94.336,94.338,94.332,94.337,94.345,94.339,HIGHやで～
20150501205900,94.336,94.336,94.282,94.292,94.343,94.289,LOWやで～
20150501210000,94.292,94.294,94.284,94.286,94.301,94.291,LOWやで～
20150501210100,94.286,94.293,94.271,94.278,94.300,94.278,LOWやで～
20150501210200,94.280,94.280,94.250,94.266,94.287,94.257,LOWやで～
20150501210300,94.267,94.271,94.258,94.258,94.278,94.265,LOWやで～
20150501210400,94.258,94.263,94.252,94.253,94.270,94.259,LOWやで～
20150501210500,94.253,94.274,94.247,94.273,94.281,94.254,HIGHやで～
20150501210600,94.276,94.294,94.258,94.266,94.301,94.265,LOWやで～
20150501210700,94.263,94.263,94.239,94.260,94.270,94.246,LOWやで～
20150501210800,94.259,94.269,94.250,94.265,94.276,94.257,HIGHやで～
20150501210900,94.265,94.271,94.265,94.269,94.278,94.272,HIGHやで～
20150501211000,94.268,94.304,94.265,94.294,94.311,94.272,HIGHやで～
20150501211100,94.294,94.294,94.253,94.263,94.301,94.260,LOWやで～
20150501211200,94.263,94.264,94.250,94.254,94.271,94.257,LOWやで～
20150501211300,94.255,94.256,94.230,94.241,94.263,94.237,LOWやで～
20150501211400,94.241,94.258,94.241,94.258,94.265,94.248,HIGHやで～
20150501211500,94.259,94.314,94.258,94.313,94.321,94.265,HIGHやで～
20150501211600,94.318,94.340,94.317,94.330,94.347,94.324,HIGHやで～
20150501211700,94.331,94.347,94.328,94.346,94.354,94.335,HIGHやで～
20150501211800,94.346,94.366,94.328,94.365,94.373,94.335,HIGHやで～
20150501211900,94.366,94.378,94.356,94.377,94.385,94.363,HIGHやで～
20150501212000,94.374,94.401,94.366,94.379,94.408,94.373,HIGHやで～
20150501212100,94.379,94.382,94.357,94.360,94.389,94.364,LOWやで～
20150501212200,94.357,94.357,94.345,94.348,94.364,94.352,LOWやで～
20150501212300,94.350,94.356,94.317,94.320,94.363,94.324,LOWやで～
20150501212400,94.320,94.338,94.308,94.310,94.345,94.315,LOWやで～
20150501212500,94.314,94.334,94.308,94.310,94.341,94.315,LOWやで～
20150501212600,94.310,94.315,94.285,94.289,94.322,94.292,LOWやで～
20150501212700,94.284,94.301,94.282,94.296,94.308,94.289,HIGHやで～
20150501212800,94.292,94.300,94.282,94.293,94.307,94.289,HIGHやで～
20150501212900,94.299,94.312,94.278,94.293,94.319,94.285,LOWやで～
20150501213000,94.293,94.302,94.268,94.279,94.309,94.275,LOWやで～
20150501213100,94.279,94.290,94.266,94.268,94.297,94.273,LOWやで～
20150501213200,94.266,94.288,94.257,94.274,94.295,94.264,HIGHやで～
20150501213300,94.273,94.285,94.248,94.252,94.292,94.255,LOWやで～
20150501213400,94.251,94.268,94.244,94.254,94.275,94.251,HIGHやで～
20150501213500,94.255,94.259,94.169,94.182,94.266,94.176,LOWやで～
20150501213600,94.184,94.184,94.147,94.154,94.191,94.154,LOWやで～
20150501213700,94.157,94.180,94.147,94.153,94.187,94.154,LOWやで～
20150501213800,94.153,94.155,94.120,94.147,94.162,94.127,LOWやで～
20150501213900,94.148,94.148,94.077,94.115,94.155,94.084,LOWやで～
20150501214000,94.115,94.177,94.115,94.170,94.184,94.122,HIGHやで～
20150501214100,94.170,94.175,94.151,94.160,94.182,94.158,LOWやで～
20150501214200,94.160,94.171,94.116,94.116,94.178,94.123,LOWやで～
20150501214300,94.117,94.139,94.117,94.133,94.146,94.124,HIGHやで～
20150501214400,94.133,94.167,94.127,94.164,94.174,94.134,HIGHやで～
20150501214500,94.166,94.205,94.149,94.192,94.212,94.156,HIGHやで～
20150501214600,94.192,94.192,94.120,94.126,94.199,94.127,LOWやで～
20150501214700,94.125,94.182,94.119,94.179,94.189,94.126,HIGHやで～
20150501214800,94.178,94.210,94.167,94.194,94.217,94.174,HIGHやで～
20150501214900,94.193,94.214,94.186,94.211,94.221,94.193,HIGHやで～
20150501215000,94.210,94.211,94.192,94.208,94.218,94.199,LOWやで～
20150501215100,94.209,94.233,94.209,94.230,94.240,94.216,HIGHやで～
20150501215200,94.229,94.260,94.226,94.248,94.267,94.233,HIGHやで～
20150501215300,94.246,94.246,94.228,94.240,94.253,94.235,LOWやで～
20150501215400,94.239,94.255,94.230,94.253,94.262,94.237,HIGHやで～
20150501215500,94.252,94.268,94.250,94.253,94.275,94.257,HIGHやで～
20150501215600,94.253,94.258,94.238,94.256,94.265,94.245,HIGHやで～
20150501215700,94.256,94.263,94.237,94.237,94.270,94.244,LOWやで～
20150501215800,94.237,94.262,94.235,94.245,94.269,94.242,HIGHやで～
20150501215900,94.245,94.245,94.202,94.212,94.252,94.209,LOWやで～
20150501220000,94.213,94.223,94.190,94.206,94.230,94.197,LOWやで～
20150501220100,94.205,94.211,94.183,94.183,94.218,94.190,LOWやで～
20150501220200,94.182,94.214,94.181,94.207,94.221,94.188,HIGHやで～
20150501220300,94.206,94.228,94.206,94.227,94.235,94.213,HIGHやで～
20150501220400,94.227,94.236,94.209,94.222,94.243,94.216,LOWやで～
20150501220500,94.221,94.234,94.217,94.230,94.241,94.224,HIGHやで～
20150501220600,94.230,94.249,94.230,94.241,94.256,94.237,HIGHやで～
20150501220700,94.244,94.270,94.234,94.269,94.277,94.241,HIGHやで～
20150501220800,94.268,94.275,94.263,94.273,94.282,94.270,HIGHやで～
20150501220900,94.273,94.277,94.261,94.273,94.284,94.268,LOWやで～
20150501221000,94.273,94.300,94.270,94.284,94.307,94.277,HIGHやで～
20150501221100,94.283,94.295,94.275,94.287,94.302,94.282,HIGHやで～
20150501221200,94.287,94.287,94.262,94.278,94.294,94.269,LOWやで～
20150501221300,94.277,94.284,94.259,94.273,94.291,94.266,LOWやで～
20150501221400,94.273,94.292,94.270,94.285,94.299,94.277,HIGHやで～
20150501221500,94.284,94.287,94.264,94.271,94.294,94.271,LOWやで～
20150501221600,94.271,94.288,94.265,94.266,94.295,94.272,LOWやで～
20150501221700,94.266,94.276,94.259,94.270,94.283,94.266,HIGHやで～
20150501221800,94.270,94.270,94.247,94.252,94.277,94.254,LOWやで～
20150501221900,94.253,94.275,94.238,94.270,94.282,94.245,HIGHやで～
20150501222000,94.274,94.278,94.265,94.273,94.285,94.272,LOWやで～
20150501222100,94.279,94.288,94.274,94.277,94.295,94.281,LOWやで～
20150501222200,94.277,94.281,94.265,94.272,94.288,94.272,LOWやで～
20150501222300,94.275,94.287,94.266,94.287,94.294,94.273,HIGHやで～
20150501222400,94.290,94.309,94.284,94.305,94.316,94.291,HIGHやで～
20150501222500,94.306,94.330,94.306,94.326,94.337,94.313,HIGHやで～
20150501222600,94.325,94.332,94.320,94.324,94.339,94.327,LOWやで～
20150501222700,94.323,94.327,94.297,94.316,94.334,94.304,LOWやで～
20150501222800,94.316,94.322,94.305,94.322,94.329,94.312,HIGHやで～
20150501222900,94.322,94.333,94.314,94.328,94.340,94.321,HIGHやで～
20150501223000,94.328,94.355,94.324,94.355,94.362,94.331,HIGHやで～
20150501223100,94.357,94.370,94.350,94.364,94.377,94.357,HIGHやで～
20150501223200,94.364,94.370,94.346,94.348,94.377,94.353,LOWやで～
20150501223300,94.347,94.347,94.313,94.330,94.354,94.320,LOWやで～
20150501223400,94.329,94.336,94.322,94.326,94.343,94.329,LOWやで～
20150501223500,94.331,94.334,94.319,94.327,94.341,94.326,LOWやで～
20150501223600,94.327,94.328,94.310,94.328,94.335,94.317,HIGHやで～
20150501223700,94.328,94.334,94.314,94.314,94.341,94.321,LOWやで～
20150501223800,94.313,94.316,94.299,94.314,94.323,94.306,HIGHやで～
20150501223900,94.312,94.332,94.305,94.331,94.339,94.312,HIGHやで～
20150501224000,94.331,94.335,94.303,94.305,94.342,94.310,LOWやで～
20150501224100,94.304,94.312,94.290,94.297,94.319,94.297,LOWやで～
20150501224200,94.296,94.298,94.285,94.290,94.305,94.292,LOWやで～
20150501224300,94.290,94.303,94.289,94.292,94.310,94.296,HIGHやで～
20150501224400,94.292,94.318,94.292,94.315,94.325,94.299,HIGHやで～
20150501224500,94.315,94.322,94.293,94.296,94.329,94.300,LOWやで～
20150501224600,94.290,94.298,94.271,94.286,94.305,94.278,LOWやで～
20150501224700,94.287,94.300,94.275,94.281,94.307,94.282,LOWやで～
20150501224800,94.282,94.297,94.282,94.285,94.304,94.289,HIGHやで～
20150501224900,94.287,94.290,94.279,94.283,94.297,94.286,LOWやで～
20150501225000,94.283,94.290,94.265,94.266,94.297,94.272,LOWやで～
20150501225100,94.266,94.267,94.215,94.221,94.274,94.222,LOWやで～
20150501225200,94.220,94.233,94.209,94.227,94.240,94.216,HIGHやで～
20150501225300,94.226,94.233,94.209,94.231,94.240,94.216,HIGHやで～
20150501225400,94.233,94.251,94.231,94.240,94.258,94.238,HIGHやで～
20150501225500,94.238,94.270,94.234,94.250,94.277,94.241,HIGHやで～
20150501225600,94.250,94.289,94.250,94.284,94.296,94.257,HIGHやで～
20150501225700,94.284,94.301,94.272,94.301,94.308,94.279,HIGHやで～
20150501225800,94.299,94.302,94.260,94.271,94.309,94.267,LOWやで～
20150501225900,94.273,94.292,94.098,94.105,94.301,94.155,LOWやで～
20150501230000,94.105,94.305,94.098,94.239,94.348,94.228,HIGHやで～
20150501230100,94.241,94.297,94.204,94.242,94.304,94.211,HIGHやで～
20150501230200,94.239,94.239,94.121,94.147,94.246,94.128,LOWやで～
20150501230300,94.147,94.223,94.134,94.218,94.230,94.141,HIGHやで～
20150501230400,94.219,94.219,94.068,94.068,94.226,94.075,LOWやで～
20150501230500,94.067,94.161,94.064,94.129,94.168,94.071,HIGHやで～
20150501230600,94.134,94.153,94.097,94.102,94.160,94.104,LOWやで～
20150501230700,94.102,94.141,94.097,94.121,94.148,94.104,HIGHやで～
20150501230800,94.121,94.135,94.087,94.104,94.142,94.094,LOWやで～
20150501230900,94.105,94.110,94.029,94.075,94.117,94.036,LOWやで～
20150501231000,94.074,94.084,94.043,94.076,94.091,94.050,HIGHやで～
20150501231100,94.076,94.111,94.072,94.107,94.118,94.079,HIGHやで～
20150501231200,94.102,94.132,94.084,94.124,94.139,94.091,HIGHやで～
20150501231300,94.128,94.129,94.089,94.092,94.136,94.096,LOWやで～
20150501231400,94.093,94.125,94.093,94.100,94.132,94.100,HIGHやで～
20150501231500,94.099,94.101,94.068,94.072,94.108,94.075,LOWやで～
20150501231600,94.070,94.072,94.030,94.054,94.079,94.037,LOWやで～
20150501231700,94.056,94.077,94.036,94.065,94.084,94.043,HIGHやで～
20150501231800,94.063,94.071,94.041,94.065,94.078,94.048,HIGHやで～
20150501231900,94.063,94.080,94.042,94.057,94.087,94.049,LOWやで～
20150501232000,94.057,94.075,94.041,94.072,94.082,94.048,HIGHやで～
20150501232100,94.073,94.077,94.027,94.027,94.084,94.034,LOWやで～
20150501232200,94.029,94.046,94.000,94.043,94.053,94.007,HIGHやで～
20150501232300,94.043,94.095,94.043,94.089,94.102,94.050,HIGHやで～
20150501232400,94.088,94.096,94.064,94.084,94.103,94.071,LOWやで～
20150501232500,94.084,94.127,94.081,94.122,94.134,94.088,HIGHやで～
20150501232600,94.123,94.125,94.096,94.117,94.132,94.103,LOWやで～
20150501232700,94.116,94.116,94.076,94.098,94.123,94.083,LOWやで～
20150501232800,94.099,94.102,94.044,94.066,94.109,94.051,LOWやで～
20150501232900,94.067,94.084,94.028,94.028,94.091,94.035,LOWやで～
20150501233000,94.028,94.076,94.027,94.067,94.083,94.034,HIGHやで～
20150501233100,94.068,94.068,94.015,94.027,94.075,94.022,LOWやで～
20150501233200,94.034,94.054,93.999,94.054,94.061,94.006,HIGHやで～
20150501233300,94.055,94.056,94.020,94.049,94.063,94.027,LOWやで～
20150501233400,94.045,94.069,94.031,94.040,94.076,94.038,LOWやで～
20150501233500,94.041,94.094,94.036,94.069,94.101,94.043,HIGHやで～
20150501233600,94.070,94.089,94.003,94.013,94.096,94.010,LOWやで～
20150501233700,94.012,94.047,93.999,94.032,94.054,94.006,HIGHやで～
20150501233800,94.032,94.036,94.007,94.036,94.043,94.014,HIGHやで～
20150501233900,94.035,94.053,94.013,94.021,94.060,94.020,LOWやで～
20150501234000,94.022,94.039,94.018,94.030,94.046,94.025,HIGHやで～
20150501234100,94.030,94.039,94.014,94.026,94.046,94.021,LOWやで～
20150501234200,94.026,94.054,94.023,94.046,94.061,94.030,HIGHやで～
20150501234300,94.047,94.060,94.035,94.035,94.067,94.042,LOWやで～
20150501234400,94.031,94.046,94.011,94.017,94.053,94.018,LOWやで～
20150501234500,94.018,94.026,93.990,93.991,94.033,93.997,LOWやで～
20150501234600,93.994,94.048,93.994,94.047,94.055,94.001,HIGHやで～
20150501234700,94.048,94.058,94.024,94.029,94.065,94.031,LOWやで～
20150501234800,94.029,94.055,94.017,94.041,94.062,94.024,HIGHやで～
20150501234900,94.042,94.044,94.001,94.006,94.051,94.008,LOWやで～
20150501235000,94.009,94.022,93.994,94.002,94.029,94.001,LOWやで～
20150501235100,94.003,94.025,93.971,94.020,94.032,93.978,HIGHやで～
20150501235200,94.021,94.034,94.011,94.022,94.041,94.018,HIGHやで～
20150501235300,94.019,94.031,94.007,94.027,94.038,94.014,HIGHやで～
20150501235400,94.027,94.068,94.025,94.068,94.075,94.032,HIGHやで～
20150501235500,94.070,94.071,94.048,94.063,94.078,94.055,LOWやで～
20150501235600,94.063,94.067,94.041,94.067,94.074,94.048,HIGHやで～
20150501235700,94.067,94.102,94.067,94.095,94.109,94.074,HIGHやで～
20150501235800,94.096,94.109,94.079,94.106,94.116,94.086,HIGHやで～
20150501235900,94.107,94.112,94.087,94.089,94.119,94.094,LOWやで～
20150502000000,94.090,94.104,94.070,94.090,94.111,94.077,LOWやで～
20150502000100,94.089,94.118,94.084,94.117,94.125,94.091,HIGHやで～
20150502000200,94.116,94.121,94.070,94.088,94.128,94.077,LOWやで～
20150502000300,94.088,94.091,94.060,94.070,94.098,94.067,LOWやで～
20150502000400,94.069,94.069,94.040,94.051,94.076,94.047,LOWやで～
20150502000500,94.051,94.094,94.039,94.093,94.101,94.046,HIGHやで～
20150502000600,94.093,94.096,94.066,94.073,94.103,94.073,LOWやで～
20150502000700,94.074,94.078,94.058,94.058,94.085,94.065,LOWやで～
20150502000800,94.058,94.058,94.017,94.026,94.065,94.024,LOWやで～
20150502000900,94.027,94.030,93.968,93.983,94.037,93.975,LOWやで～
20150502001000,93.984,94.019,93.975,93.981,94.026,93.982,LOWやで～
20150502001100,93.982,94.016,93.982,94.012,94.023,93.989,HIGHやで～
20150502001200,94.013,94.026,94.005,94.016,94.033,94.012,HIGHやで～
20150502001300,94.016,94.034,94.015,94.021,94.041,94.022,HIGHやで～
